Count Lead,Created Date
16,2010-05-19 00:00:00.0
11,2010-05-20 00:00:00.0
9,2010-05-21 00:00:00.0
13,2010-05-22 00:00:00.0
13,2010-05-23 00:00:00.0
14,2010-05-24 00:00:00.0
8,2010-05-25 00:00:00.0
12,2010-05-26 00:00:00.0
9,2010-05-27 00:00:00.0
14,2010-05-28 00:00:00.0
16,2010-05-29 00:00:00.0
3,2010-05-30 00:00:00.0
21,2010-05-31 00:00:00.0
12,2010-06-01 00:00:00.0
10,2010-06-02 00:00:00.0
10,2010-06-03 00:00:00.0
16,2010-06-04 00:00:00.0
14,2010-06-05 00:00:00.0
11,2010-06-06 00:00:00.0
11,2010-06-07 00:00:00.0
8,2010-06-08 00:00:00.0
12,2010-06-09 00:00:00.0
17,2010-06-10 00:00:00.0
10,2010-06-11 00:00:00.0
7,2010-06-12 00:00:00.0
13,2010-06-13 00:00:00.0
12,2010-06-14 00:00:00.0
9,2010-06-15 00:00:00.0
16,2010-06-16 00:00:00.0
15,2010-06-17 00:00:00.0
28,2010-06-18 00:00:00.0
13,2010-06-19 00:00:00.0
15,2010-06-20 00:00:00.0
19,2010-06-21 00:00:00.0
14,2010-06-22 00:00:00.0
8,2010-06-23 00:00:00.0
13,2010-06-24 00:00:00.0
19,2010-06-25 00:00:00.0
12,2010-06-26 00:00:00.0
17,2010-06-27 00:00:00.0
16,2010-06-28 00:00:00.0
10,2010-06-29 00:00:00.0
16,2010-06-30 00:00:00.0
21,2010-07-01 00:00:00.0
9,2010-07-02 00:00:00.0
13,2010-07-03 00:00:00.0
20,2010-07-04 00:00:00.0
19,2010-07-05 00:00:00.0
14,2010-07-06 00:00:00.0
12,2010-07-07 00:00:00.0
18,2010-07-08 00:00:00.0
18,2010-07-09 00:00:00.0
15,2010-07-10 00:00:00.0
11,2010-07-11 00:00:00.0
11,2010-07-12 00:00:00.0
21,2010-07-13 00:00:00.0
16,2010-07-14 00:00:00.0
11,2010-07-15 00:00:00.0
21,2010-07-16 00:00:00.0
21,2010-07-17 00:00:00.0
14,2010-07-18 00:00:00.0
13,2010-07-19 00:00:00.0
14,2010-07-20 00:00:00.0
12,2010-07-21 00:00:00.0
9,2010-07-22 00:00:00.0
14,2010-07-23 00:00:00.0
10,2010-07-24 00:00:00.0
18,2010-07-25 00:00:00.0
12,2010-07-26 00:00:00.0
18,2010-07-27 00:00:00.0
20,2010-07-28 00:00:00.0
17,2010-07-29 00:00:00.0
22,2010-07-30 00:00:00.0
31,2010-07-31 00:00:00.0
17,2010-08-01 00:00:00.0
13,2010-08-02 00:00:00.0
20,2010-08-03 00:00:00.0
21,2010-08-04 00:00:00.0
20,2010-08-05 00:00:00.0
22,2010-08-06 00:00:00.0
15,2010-08-07 00:00:00.0
14,2010-08-08 00:00:00.0
11,2010-08-09 00:00:00.0
21,2010-08-10 00:00:00.0
13,2010-08-11 00:00:00.0
20,2010-08-12 00:00:00.0
18,2010-08-13 00:00:00.0
19,2010-08-14 00:00:00.0
13,2010-08-15 00:00:00.0
25,2010-08-16 00:00:00.0
23,2010-08-17 00:00:00.0
15,2010-08-18 00:00:00.0
21,2010-08-19 00:00:00.0
17,2010-08-20 00:00:00.0
24,2010-08-21 00:00:00.0
21,2010-08-22 00:00:00.0
25,2010-08-23 00:00:00.0
21,2010-08-24 00:00:00.0
16,2010-08-25 00:00:00.0
20,2010-08-26 00:00:00.0
12,2010-08-27 00:00:00.0
19,2010-08-28 00:00:00.0
17,2010-08-29 00:00:00.0
9,2010-08-30 00:00:00.0
14,2010-08-31 00:00:00.0
16,2010-09-01 00:00:00.0
19,2010-09-02 00:00:00.0
9,2010-09-03 00:00:00.0
24,2010-09-04 00:00:00.0
18,2010-09-05 00:00:00.0
19,2010-09-06 00:00:00.0
13,2010-09-07 00:00:00.0
19,2010-09-08 00:00:00.0
20,2010-09-09 00:00:00.0
19,2010-09-10 00:00:00.0
19,2010-09-11 00:00:00.0
22,2010-09-12 00:00:00.0
21,2010-09-13 00:00:00.0
20,2010-09-14 00:00:00.0
21,2010-09-15 00:00:00.0
17,2010-09-16 00:00:00.0
27,2010-09-17 00:00:00.0
17,2010-09-18 00:00:00.0
22,2010-09-19 00:00:00.0
17,2010-09-20 00:00:00.0
19,2010-09-21 00:00:00.0
21,2010-09-22 00:00:00.0
20,2010-09-23 00:00:00.0
22,2010-09-24 00:00:00.0
20,2010-09-25 00:00:00.0
24,2010-09-26 00:00:00.0
24,2010-09-27 00:00:00.0
21,2010-09-28 00:00:00.0
17,2010-09-29 00:00:00.0
15,2010-09-30 00:00:00.0
29,2010-10-01 00:00:00.0
15,2010-10-02 00:00:00.0
23,2010-10-03 00:00:00.0
14,2010-10-04 00:00:00.0
20,2010-10-05 00:00:00.0
22,2010-10-06 00:00:00.0
22,2010-10-07 00:00:00.0
16,2010-10-08 00:00:00.0
20,2010-10-09 00:00:00.0
20,2010-10-10 00:00:00.0
17,2010-10-11 00:00:00.0
16,2010-10-12 00:00:00.0
